name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2016-03-29,58.5,34.4,46.2,58.5,34.4,45,29.7,56.6,0,0,0,,0,0,21.9,13.3,116.6,1025,40.2,9.7,,,,,2016-03-29T06:37:26,2016-03-29T19:13:25,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-30,60.5,45.5,52.4,60.5,40.1,50.4,39,61.5,0.269,100,29.17,rain,0,0,35.1,22.9,177.9,1010.6,95.5,9.2,,,,,2016-03-30T06:35:44,2016-03-30T19:14:31,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-31,66.1,47.8,59.1,66.1,43.3,58.6,51.3,76.2,0.167,100,54.17,rain,0,0,36.1,22,228,995.6,94.8,9.4,,,,,2016-03-31T06:34:02,2016-03-31T19:15:37,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-01,49.3,39.2,43.3,44.8,30.7,38.9,34.8,72.5,0.118,100,37.5,rain,0,0,41.4,16.6,287.4,1006.7,83.9,9.6,,,,,2016-04-01T06:32:21,2016-04-01T19:16:44,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-02,39.4,31.3,34.8,29.9,22.6,24.6,21.4,58.3,0.016,100,16.67,"rain,snow",0,0,49.5,31.1,289.6,1007.9,56.1,8.8,,,,,2016-04-02T06:30:39,2016-04-02T19:17:50,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-03,71.8,28.5,47.7,71.8,22.6,44.2,25.7,44.1,0,0,0,,0,0,41.2,27.2,219.8,1010.3,63.1,9.9,,,,,2016-04-03T06:28:58,2016-04-03T19:18:56,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-04,40.4,31.3,34.6,31.3,21.8,25.1,24.8,67,0,0,0,,0,0,32.7,21,7.4,1020.5,98.9,9.5,,,,,2016-04-04T06:27:17,2016-04-04T19:20:02,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-05,45.6,27.9,37.2,39.4,22.7,30.9,19.9,51,0.024,100,8.33,rain,0,0,25,14.7,132.4,1028,51.4,9.8,,,,,2016-04-05T06:25:37,2016-04-05T19:21:08,0.94,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-06,49.6,43,46.3,45.6,36.9,41.2,38.8,75.8,0.403,100,79.17,rain,0,0,24.2,15.8,217.9,1003.8,99.8,7.8,,,,,2016-04-06T06:23:57,2016-04-06T19:22:15,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-07,44.4,36.5,39.6,38.2,26.7,31.6,30.1,69.1,0.033,100,20.83,rain,0,0,27.9,19.4,320.3,1005.7,99.2,9.4,,,,,2016-04-07T06:22:18,2016-04-07T19:23:21,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-08,42.2,29.8,37,34.2,19.8,29.4,26,65.2,0.068,100,20.83,"rain,snow",0.2,0.1,35.3,22.3,302.7,1010.8,88.7,8.8,,,,,2016-04-08T06:20:39,2016-04-08T19:24:27,0.04,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-09,36.8,23.6,30.5,35.4,11.1,20.9,13.7,50.2,0.005,100,4.17,"rain,snow",0.2,0.4,36.7,21,11.8,1023,37.2,9.7,,,,,2016-04-09T06:19:00,2016-04-09T19:25:33,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-10,50.8,33.4,41.4,50.8,23.8,34.2,32.6,71.8,0.121,100,62.5,"rain,snow",0,0,29.9,19,179.1,1012.4,99,7.8,,,,,2016-04-10T06:17:22,2016-04-10T19:26:39,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-11,51.4,41.5,48,51.4,36.2,44.4,33.1,60.4,0.003,100,8.33,rain,0,0,29,19.4,287.6,1012.8,68.9,8.8,,,,,2016-04-11T06:15:45,2016-04-11T19:27:46,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-04-12,45,33.2,39.6,41.2,27.1,34.4,21.7,49,0,0,0,,0,0,19.7,13.1,48.2,1027.1,4.9,9.9,,,,,2016-04-12T06:14:08,2016-04-12T19:28:52,0.18,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
